candle_date_time,open,high,low,close,volume,BB+,BBC,BB-,MA_C15H,MACD,RSI
2020-11-08 5:00,16555000,16818000,16252000,16760000,619.0885429,17654366,17197350,16740334,17130400,-118900,34.9
2020-11-08 6:00,16752000,16840000,16613000,16677000,157.3203177,17640858,17155400,16669942,17085933,-137500,32.7
2020-11-08 7:00,16686000,16688000,16508000,16659000,189.7230401,17632952,17117550,16602148,17046533,-151900,32.2
2020-11-08 8:00,16659000,16785000,16621000,16647000,141.5975417,17622657,17081700,16540743,17004000,-162400,31.9
2020-11-08 9:00,16650000,16900000,16520000,16898000,335.4042335,17593061,17059750,16526439,16980533,-148800,44.5
2020-11-08 10:00,16888000,17080000,16800000,17040000,302.1859135,17559308,17043850,16528392,16961466,-125100,50.2
2020-11-08 11:00,17040000,17100000,16899000,16917000,243.475156,17521573,17022500,16523427,16936333,-114900,45.8
2020-11-08 12:00,16914000,16928000,16862000,16869000,154.2772529,17495368,17003450,16511532,16908000,-109500,44.2
2020-11-08 13:00,16867000,16914000,16815000,16867000,112.6417015,17460154,16982550,16504946,16881733,-104100,44.2
2020-11-08 14:00,16866000,16916000,16813000,16882000,87.56100303,17427256,16964150,16501044,16866666,-97500,44.9
2020-11-08 15:00,16906000,16909000,16796000,16821000,124.2659078,17374593,16938900,16503207,16846466,-96100,42.5
2020-11-08 16:00,16821000,16845000,16699000,16734000,104.3875704,17323053,16910900,16498747,16815600,-100800,39.4
2020-11-08 17:00,16736000,16847000,16691000,16786000,100.4143517,17261074,16885500,16509926,16797466,-99300,42.1
2020-11-08 18:00,16786000,16860000,16755000,16845000,87.3825185,17198547,16864700,16530853,16798266,-92200,45.2
2020-11-08 19:00,16859000,17040000,16812000,17011000,158.3473712,17182032,16859850,16537668,16827533,-72400,52.7
2020-11-08 20:00,17011000,17040000,16913000,16955000,112.9765107,17153677,16851400,16549123,16840533,-60500,50.2
2020-11-08 21:00,16955000,17128000,16955000,17078000,222.6253431,17124038,16845450,16566862,16867266,-40600,55.3
2020-11-08 22:00,17071000,17106000,16930000,17028000,154.4534226,17118234,16843950,16569666,16891866,-28600,52.9
