candel_date_time,open,high,low,close,volume
2020-11-08 5:00,16555000,16818000,16252000,16760000,619.0885429
2020-11-08 6:00,16752000,16840000,16613000,16677000,157.3203177
2020-11-08 7:00,16686000,16688000,16508000,16659000,189.7230401
2020-11-08 8:00,16659000,16785000,16621000,16647000,141.5975417
2020-11-08 9:00,16650000,16900000,16520000,16898000,335.4042335
2020-11-08 10:00,16888000,17080000,16800000,17040000,302.1859135
2020-11-08 11:00,17040000,17100000,16899000,16917000,243.475156
2020-11-08 12:00,16914000,16928000,16862000,16869000,154.2772529
2020-11-08 13:00,16867000,16914000,16815000,16867000,112.6417015
2020-11-08 14:00,16866000,16916000,16813000,16882000,87.56100303
2020-11-08 15:00,16906000,16909000,16796000,16821000,124.2659078
2020-11-08 16:00,16821000,16845000,16699000,16734000,104.3875704
2020-11-08 17:00,16736000,16847000,16691000,16786000,100.4143517
2020-11-08 18:00,16786000,16860000,16755000,16845000,87.3825185
2020-11-08 19:00,16859000,17040000,16812000,17011000,158.3473712
2020-11-08 20:00,17011000,17040000,16913000,16955000,112.9765107
2020-11-08 21:00,16955000,17128000,16955000,17078000,222.6253431
2020-11-08 22:00,17071000,17106000,16930000,17028000,154.4534226
2020-11-08 23:00,17028000,17131000,16986000,17130000,143.1013817
2020-11-09 0:00,17130000,17230000,17102000,17115000,245.7700576
2020-11-09 1:00,17118000,17192000,17090000,17169000,61.44099257
2020-11-09 2:00,17169000,17370000,17158000,17323000,205.9650587
2020-11-09 3:00,17323000,17388000,17216000,17325000,57.42836158
2020-11-09 4:00,17320000,17332000,17068000,17131000,72.25330279
2020-11-09 5:00,17131000,17235000,17127000,17204000,47.57862762
2020-11-09 6:00,17202000,17227000,17080000,17174000,40.3539318
2020-11-09 7:00,17173000,17340000,17165000,17318000,102.5965982
2020-11-09 8:00,17318000,17340000,17260000,17297000,126.0823726
2020-11-09 9:00,17276000,17378000,17180000,17316000,234.8780494
2020-11-09 10:00,17321000,17374000,17244000,17251000,170.1092495
2020-11-09 11:00,17257000,17307000,17186000,17222000,156.1920033
2020-11-09 12:00,17229000,17238000,17146000,17193000,128.6362495
2020-11-09 13:00,17193000,17200000,17121000,17128000,135.9717609
2020-11-09 14:00,17124000,17200000,17054000,17194000,159.4224233
2020-11-09 15:00,17185000,17196000,17105000,17118000,74.88955414
2020-11-09 16:00,17118000,17163000,17020000,17036000,137.8509503
2020-11-09 17:00,17030000,17160000,16908000,17155000,279.2552775
2020-11-09 18:00,17149000,17229000,17134000,17182000,169.1151744
2020-11-09 19:00,17175000,17256000,17171000,17221000,130.2620006
2020-11-09 20:00,17221000,17550000,17203000,17499000,396.810668
2020-11-09 21:00,17499000,17499000,17199000,17311000,549.3272667
2020-11-09 22:00,17313000,17337000,16908000,17044000,592.0229502
2020-11-09 23:00,17044000,17149000,16800000,16844000,345.1921862
2020-11-10 0:00,16848000,16970000,16788000,16850000,411.5629793
2020-11-10 1:00,16848000,16990000,16695000,16985000,370.6057498
2020-11-10 2:00,16985000,17088000,16912000,17076000,108.5157038
2020-11-10 3:00,17078000,17137000,17008000,17137000,89.49244937
2020-11-10 4:00,17137000,17247000,17095000,17143000,99.34509975
2020-11-10 5:00,17145000,17260000,17140000,17140000,61.34075199
2020-11-10 6:00,17140000,17199000,17080000,17125000,62.80685009
2020-11-10 7:00,17124000,17151000,16989000,16989000,155.9090364
2020-11-10 8:00,16993000,17125000,16993000,17106000,92.71813352
2020-11-10 9:00,17106000,17123000,16958000,17034000,194.1097288
2020-11-10 10:00,17034000,17173000,17008000,17172000,122.5890132
2020-11-10 11:00,17169000,17190000,17090000,17090000,131.6225529
2020-11-10 12:00,17094000,17097000,16990000,17065000,94.09130748
2020-11-10 13:00,17065000,17135000,17058000,17104000,98.04536381
2020-11-10 14:00,17101000,17151000,17044000,17082000,142.0019797
2020-11-10 15:00,17082000,17105000,17005000,17033000,106.1950293
2020-11-10 16:00,17033000,17071000,16987000,17013000,128.9482616
2020-11-10 17:00,17011000,17176000,16982000,17096000,209.7308288
2020-11-10 18:00,17095000,17138000,17070000,17079000,110.9627536
2020-11-10 19:00,17077000,17130000,17049000,17061000,136.4759332
2020-11-10 20:00,17054000,17064000,16947000,17020000,199.2990769
2020-11-10 21:00,17020000,17116000,16965000,17002000,157.8001712
2020-11-10 22:00,17006000,17063000,16947000,17056000,142.1590426
2020-11-10 23:00,17056000,17068000,16923000,16998000,129.2347629
2020-11-11 0:00,16998000,17015000,16872000,16940000,156.6443186
2020-11-11 1:00,16940000,17025000,16907000,16987000,80.23535059
2020-11-11 2:00,16993000,17090000,16989000,17055000,56.24594357
2020-11-11 3:00,17055000,17073000,16969000,17021000,16.4557716
2020-11-11 4:00,17042000,17093000,17024000,17036000,19.64179486
2020-11-11 5:00,17057000,17076000,17031000,17031000,17.41174829
2020-11-11 6:00,17031000,17120000,17027000,17101000,70.97030775
2020-11-11 7:00,17119000,17130000,17055000,17081000,58.39180827
2020-11-11 8:00,17082000,17094000,17003000,17035000,76.75711892
2020-11-11 9:00,17035000,17200000,17009000,17170000,252.1190748
2020-11-11 10:00,17179000,17192000,17117000,17131000,126.8179956
2020-11-11 11:00,17133000,17144000,17065000,17111000,145.6299214
2020-11-11 12:00,17089000,17133000,17087000,17107000,64.58141413
2020-11-11 13:00,17126000,17139000,17063000,17081000,110.9754667
2020-11-11 14:00,17074000,17086000,17045000,17075000,89.87730682
2020-11-11 15:00,17072000,17086000,17021000,17024000,107.3517498
2020-11-11 16:00,17024000,17081000,17020000,17075000,216.1782387
2020-11-11 17:00,17061000,17117000,17036000,17058000,185.6495535
2020-11-11 18:00,17058000,17130000,17055000,17076000,166.2732421
2020-11-11 19:00,17076000,17229000,17074000,17229000,183.8770589
2020-11-11 20:00,17230000,17330000,17176000,17272000,341.9833692
2020-11-11 21:00,17265000,17330000,17203000,17290000,221.9475913
2020-11-11 22:00,17287000,17399000,17239000,17257000,291.411017
2020-11-11 23:00,17250000,17329000,17223000,17288000,168.3266991
2020-11-12 0:00,17295000,17360000,17265000,17347000,104.4582417
2020-11-12 1:00,17351000,17494000,17312000,17389000,225.624427
2020-11-12 2:00,17392000,17550000,17366000,17468000,232.1516021
2020-11-12 3:00,17468000,17563000,17409000,17459000,161.7726267
2020-11-12 4:00,17459000,17500000,17370000,17474000,56.36753064
2020-11-12 5:00,17474000,17480000,17312000,17413000,90.15256084
2020-11-12 6:00,17399000,17483000,17330000,17478000,64.19584803
2020-11-12 7:00,17483000,17600000,17470000,17500000,229.6366398
2020-11-12 8:00,17499000,17505000,17425000,17439000,131.7618965
2020-11-12 9:00,17439000,17444000,17200000,17332000,405.6307064
2020-11-12 10:00,17332000,17355000,17300000,17350000,83.5636788
2020-11-12 11:00,17350000,17362000,17303000,17305000,135.1128968
2020-11-12 12:00,17303000,17357000,17290000,17335000,103.7254305
2020-11-12 13:00,17335000,17384000,17312000,17366000,130.4896512
2020-11-12 14:00,17366000,17480000,17366000,17459000,148.2111283
2020-11-12 15:00,17459000,17585000,17443000,17490000,301.8784123
2020-11-12 16:00,17487000,17588000,17455000,17548000,240.513052
2020-11-12 17:00,17548000,17595000,17488000,17488000,185.6149622
