candel_date_time,MA_C15H
2020-11-08 05:00:00,17130400
2020-11-08 06:00:00,17085933
2020-11-08 07:00:00,17046533
2020-11-08 08:00:00,17004000
2020-11-08 09:00:00,16980533
2020-11-08 10:00:00,16961466
2020-11-08 11:00:00,16936333
2020-11-08 12:00:00,16908000
2020-11-08 13:00:00,16881733
2020-11-08 14:00:00,16866666
2020-11-08 15:00:00,16846466
2020-11-08 16:00:00,16815600
2020-11-08 17:00:00,16797466
2020-11-08 18:00:00,16798266
2020-11-08 19:00:00,16827533
2020-11-08 20:00:00,16840533
2020-11-08 21:00:00,16867266
2020-11-08 22:00:00,16891866
2020-11-08 23:00:00,16924066
2020-11-09 00:00:00,16938533
2020-11-09 01:00:00,16947133
2020-11-09 02:00:00,16974200
2020-11-09 03:00:00,17004600
2020-11-09 04:00:00,17022200
2020-11-09 05:00:00,17043666
2020-11-09 06:00:00,17067200
2020-11-09 07:00:00,17106133
2020-11-09 08:00:00,17140200
2020-11-09 09:00:00,17171600
2020-11-09 10:00:00,17187600
2020-11-09 11:00:00,17205400
2020-11-09 12:00:00,17213066
2020-11-09 13:00:00,17219733
2020-11-09 14:00:00,17224000
2020-11-09 15:00:00,17224200
2020-11-09 16:00:00,17215333
2020-11-09 17:00:00,17204133
2020-11-09 18:00:00,17194600
2020-11-09 19:00:00,17200600
2020-11-09 20:00:00,17220266
2020-11-09 21:00:00,17229400
2020-11-09 22:00:00,17211133
2020-11-09 23:00:00,17180933
2020-11-10 00:00:00,17149866
2020-11-10 01:00:00,17132133
2020-11-10 02:00:00,17122400
2020-11-10 03:00:00,17118666
2020-11-10 04:00:00,17119666
2020-11-10 05:00:00,17116066
2020-11-10 06:00:00,17116533
2020-11-10 07:00:00,17113400
2020-11-10 08:00:00,17110133
2020-11-10 09:00:00,17100266
2020-11-10 10:00:00,17097000
2020-11-10 11:00:00,17069733
2020-11-10 12:00:00,17053333
2020-11-10 13:00:00,17057333
2020-11-10 14:00:00,17073200
2020-11-10 15:00:00,17085400
2020-11-10 16:00:00,17087266
2020-11-10 17:00:00,17088600
2020-11-10 18:00:00,17084733
2020-11-10 19:00:00,17079266
2020-11-10 20:00:00,17071266
2020-11-10 21:00:00,17063066
2020-11-10 22:00:00,17067533
2020-11-10 23:00:00,17060333
2020-11-11 00:00:00,17054066
2020-11-11 01:00:00,17041733
2020-11-11 02:00:00,17039400
2020-11-11 03:00:00,17036466
2020-11-11 04:00:00,17031933
2020-11-11 05:00:00,17028533
2020-11-11 06:00:00,17033066
2020-11-11 07:00:00,17037600
2020-11-11 08:00:00,17033533
2020-11-11 09:00:00,17039600
2020-11-11 10:00:00,17044266
2020-11-11 11:00:00,17050333
2020-11-11 12:00:00,17057333
2020-11-11 13:00:00,17059000
2020-11-11 14:00:00,17064133
2020-11-11 15:00:00,17069733
2020-11-11 16:00:00,17075600
2020-11-11 17:00:00,17075800
2020-11-11 18:00:00,17079466
2020-11-11 19:00:00,17092333
2020-11-11 20:00:00,17108400
2020-11-11 21:00:00,17121000
2020-11-11 22:00:00,17132733
2020-11-11 23:00:00,17149600
2020-11-12 00:00:00,17161400
2020-11-12 01:00:00,17178600
2020-11-12 02:00:00,17202400
2020-11-12 03:00:00,17225866
2020-11-12 04:00:00,17252066
2020-11-12 05:00:00,17274600
2020-11-12 06:00:00,17304866
2020-11-12 07:00:00,17333200
2020-11-12 08:00:00,17358600
2020-11-12 09:00:00,17375666
2020-11-12 10:00:00,17383733
2020-11-12 11:00:00,17385933
2020-11-12 12:00:00,17388933
2020-11-12 13:00:00,17396200
2020-11-12 14:00:00,17407600
2020-11-12 15:00:00,17417133
2020-11-12 16:00:00,17427733
2020-11-12 17:00:00,17429066
2020-11-12 18:00:00,17446933
2020-11-12 19:00:00,17445133
2020-11-12 20:00:00,17450200
2020-11-12 21:00:00,17454533
2020-11-12 22:00:00,17466533
2020-11-12 23:00:00,17482933
2020-11-13 00:00:00,17512466
2020-11-13 01:00:00,17542400
2020-11-13 02:00:00,17567866
2020-11-13 03:00:00,17600866
2020-11-13 04:00:00,17629200
2020-11-13 05:00:00,17655266
2020-11-13 06:00:00,17676733
2020-11-13 07:00:00,17699466
2020-11-13 08:00:00,17730533
2020-11-13 09:00:00,17751400
2020-11-13 10:00:00,17796600
2020-11-13 11:00:00,17841200
2020-11-13 12:00:00,17883400
2020-11-13 13:00:00,17919333
2020-11-13 14:00:00,17943533
2020-11-13 15:00:00,17965733
2020-11-13 16:00:00,17980800
2020-11-13 17:00:00,18002666
2020-11-13 18:00:00,18018933
2020-11-13 19:00:00,18029733
2020-11-13 20:00:00,18036866
2020-11-13 21:00:00,18047133
2020-11-13 22:00:00,18049000
