candel_date_time,MACD
2020-11-08 05:00:00,-118900
2020-11-08 06:00:00,-137500
2020-11-08 07:00:00,-151900
2020-11-08 08:00:00,-162400
2020-11-08 09:00:00,-148800
2020-11-08 10:00:00,-125100
2020-11-08 11:00:00,-114900
2020-11-08 12:00:00,-109500
2020-11-08 13:00:00,-104100
2020-11-08 14:00:00,-97500
2020-11-08 15:00:00,-96100
2020-11-08 16:00:00,-100800
2020-11-08 17:00:00,-99300
2020-11-08 18:00:00,-92200
2020-11-08 19:00:00,-72400
2020-11-08 20:00:00,-60500
2020-11-08 21:00:00,-40600
2020-11-08 22:00:00,-28600
2020-11-08 23:00:00,-10800
2020-11-09 00:00:00,2200
2020-11-09 01:00:00,16600
2020-11-09 02:00:00,40000
2020-11-09 03:00:00,58000
2020-11-09 04:00:00,56000
2020-11-09 05:00:00,59600
2020-11-09 06:00:00,59300
2020-11-09 07:00:00,70000
2020-11-09 08:00:00,75800
2020-11-09 09:00:00,81000
2020-11-09 10:00:00,79000
2020-11-09 11:00:00,74200
2020-11-09 12:00:00,67300
2020-11-09 13:00:00,56000
2020-11-09 14:00:00,51700
2020-11-09 15:00:00,41700
2020-11-09 16:00:00,26800
2020-11-09 17:00:00,24400
2020-11-09 18:00:00,24300
2020-11-09 19:00:00,27100
2020-11-09 20:00:00,51200
2020-11-09 21:00:00,54500
2020-11-09 22:00:00,35100
2020-11-09 23:00:00,3600
2020-11-10 00:00:00,-20700
2020-11-10 01:00:00,-28700
2020-11-10 02:00:00,-27400
2020-11-10 03:00:00,-21100
2020-11-10 04:00:00,-15600
2020-11-10 05:00:00,-11200
2020-11-10 06:00:00,-8900
2020-11-10 07:00:00,-17900
2020-11-10 08:00:00,-15300
2020-11-10 09:00:00,-18900
2020-11-10 10:00:00,-10500
2020-11-10 11:00:00,-10300
2020-11-10 12:00:00,-12100
2020-11-10 13:00:00,-10200
2020-11-10 14:00:00,-10300
2020-11-10 15:00:00,-14300
2020-11-10 16:00:00,-18800
2020-11-10 17:00:00,-15500
2020-11-10 18:00:00,-14000
2020-11-10 19:00:00,-14200
2020-11-10 20:00:00,-17500
2020-11-10 21:00:00,-21200
2020-11-10 22:00:00,-19600
2020-11-10 23:00:00,-22800
2020-11-11 00:00:00,-29600
2020-11-11 01:00:00,-30900
2020-11-11 02:00:00,-26100
2020-11-11 03:00:00,-24800
2020-11-11 04:00:00,-22300
2020-11-11 05:00:00,-20500
2020-11-11 06:00:00,-13200
